division,team,games,wins,losses,win_pct,ab,hr,hr_pct
JUCO,Yavapai College,37,13,24,0.3514,1035,31,0.03
JUCO,Allegany College of Maryland,28,10,18,0.3571,660,8,0.0121
JUCO,Allen Community College,49,19,20,0.3878,1245,22,0.0177
JUCO,Alpena Community College,29,3,21,0.1034,720,5,0.0069
JUCO,Anne Arundel Community College,35,9,26,0.2571,842,9,0.0107
JUCO,Arkansas State University Mountain Home,40,0,40,0,839,7,0.0083
JUCO,Arkansas State-Newport,23,3,16,0.1304,571,9,0.0158
JUCO,Bay College,27,7,20,0.2593,705,9,0.0128
JUCO,Bevill State Community College,55,30,16,0.5455,1440,36,0.025
JUCO,Bishop State Community College,54,32,20,0.5926,1443,24,0.0166
JUCO,Bismarck State College,48,19,25,0.3958,1292,41,0.0317
JUCO,Black Hawk College,55,29,26,0.5273,1512,61,0.0403
JUCO,Brunswick Community College,39,7,12,0.1795,912,8,0.0088
JUCO,Bryant & Stratton College (VA),52,31,11,0.5962,1462,55,0.0376
JUCO,Bryant and Stratton College (WI),47,39,8,0.8298,1195,38,0.0318
JUCO,Carl Albert State College,51,14,30,0.2745,1318,28,0.0212
JUCO,Carl Sandburg College,41,5,29,0.122,980,22,0.0224
JUCO,Catawba Valley Community College,34,22,11,0.6471,900,42,0.0467
JUCO,CCBC Catonsville,40,19,16,0.475,1109,32,0.0289
JUCO,Cecil College,22,1,20,0.0455,453,3,0.0066
JUCO,Central Alabama Community College,60,40,19,0.6667,1540,75,0.0487
JUCO,Central Community College-Columbus,37,22,15,0.5946,1042,33,0.0317
JUCO,Chandler-Gilbert Community College,47,26,21,0.5532,1266,36,0.0284
JUCO,Chattahoochee Valley Community College,39,5,29,0.1282,977,38,0.0389
JUCO,Chesapeake College,34,13,14,0.3824,1033,53,0.0513
JUCO,Cleveland Community College,39,11,7,0.2821,1001,14,0.014
JUCO,Cloud County Community College,44,16,28,0.3636,1142,16,0.014
JUCO,Coahoma Community College,38,0,8,0,711,5,0.007
JUCO,Coastal Alabama - North,58,8,37,0.1379,1473,9,0.0061
JUCO,Coffeyville Community College,36,5,21,0.1389,718,18,0.0251
JUCO,College of Lake County,53,34,17,0.6415,1481,56,0.0378
JUCO,College of Southern Maryland,33,25,7,0.7576,894,52,0.0582
JUCO,Copiah-Lincoln Community College,54,47,7,0.8704,1444,65,0.045
JUCO,County College of Morris,26,10,9,0.3846,627,10,0.0159
JUCO,Cowley College,58,41,16,0.7069,1527,66,0.0432
JUCO,Cuyahoga Community College,39,25,8,0.641,1158,13,0.0112
JUCO,Dakota County Technical College,33,10,18,0.303,893,6,0.0067
JUCO,Danville Area Community College,49,33,14,0.6735,1343,29,0.0216
JUCO,Dawson Community College,53,29,12,0.5472,1527,49,0.0321
JUCO,Delaware Technical Community College,39,28,10,0.7179,1115,38,0.0341
JUCO,Des Moines Area Community College,58,47,11,0.8103,1598,50,0.0313
JUCO,East Central College,40,14,26,0.35,1052,20,0.019
JUCO,East Central Community College,53,35,17,0.6604,1405,45,0.032
JUCO,East Mississippi Community College,42,16,26,0.381,1107,23,0.0208
JUCO,Edison State,41,24,17,0.5854,1157,22,0.019
JUCO,Ellsworth Community College,54,22,32,0.4074,1377,28,0.0203
JUCO,Enterprise State Community College,52,19,25,0.3654,1334,35,0.0262
JUCO,Fayetteville Technical Community College,44,11,9,0.25,1203,12,0.01
JUCO,Florida Gateway College,48,21,27,0.4375,1248,25,0.02
JUCO,Florida State College at Jacksonville,51,19,32,0.3725,1281,34,0.0265
JUCO,Fort Scott Community College,59,40,19,0.678,1591,67,0.0421
JUCO,Frederick Community College,34,12,18,0.3529,948,25,0.0264
JUCO,Gateway Community College-AZ,44,12,28,0.2727,1141,24,0.021
